#  file: global_SF6_MM.dat
#  
#  Atmospheric measurements of SF6 (Sulphur Hexaflouride)
#  
#  Measurements are from the NOAA/ESRL/GMD/HATS flask program 
#  (http://www.esrl.noaa.gov/gmd/hats/flask/flasks.html).
#  Instrument ID: Otto
#  
#  Location: Global -- Monthly Global-Hemispheric Means
#  See http://www.esrl.noaa.gov/gmd/dv/site/site_table.html#hats_flask for
#  more information about flask sampling sites.
#  
#  The data reported are from samples collected approximately once per week in
#  matching, concurrent, flask pairs and later analyzed on a gas chromatograph
#  with electron capture detection (GC-ECD) located in Boulder, Colorado, USA.
#  This system uses two standard reference gases for calibration and has been
#  in operation since very early in 1995.
#  
#  These data represent monthly global and hemispheric mean estimates computed
#  using data from the monthly companion files named *_SF6_MM.dat, where *
#  refers to a 3-character baseline site code. For any given month in the more
#  recent period, data from as many as 12 sites may be used to derive the global
#  mean, including as many as 4 sites in the southern hemisphere and up to 8 in
#  the northern hemisphere. From north to south, these baseline sites include
#  ALT, SUM, BRW, MHD, THD, NWR, MLO, KUM, SMO, CGO, PSA, and SPO:
#  
#      ALT - Alert, Canada                82.45 N    62.51 W    190 m 
#      SUM - Summit, Greenland            72.60 N    38.42 W   3209 m 
#      BRW - Barrow, Alaska               71.32 N   156.61 W     11 m
#      MHD - Mace Head, Ireland           53.33 N     9.90 W      5 m 
#      THD - Trinidad Head, California    41.05 N   124.15 W    107 m 
#      NWR - Niwot Ridge, Colorado        40.05 N   105.59 W   3523 m 
#      MLO - Mauna Loa, Hawaii            19.54 N   155.58 W   3397 m
#      KUM - Cape Kumukahi, Hawaii        19.52 N   154.82 W      3 m 
#      SMO - Tutuila, Samoa               14.25 S   170.56 W     42 m 
#      CGO - Cape Grim, Tasmania          40.68 S   144.69 E     94 m 
#      PSA - Palmer Station, Antarctica   64.92 S    64.00 W     10 m
#      SPO - South Pole, Antarctica       89.98 S    24.80 W   2810 m
#  
#  The global and hemispheric uncertainties reported here are bootstrapped from
#  1000 'resamples' of the input monthly means drawn in accordance with the
#  uncertainties reported in the companion files.
#  
#  PIs: Dr. James W. Elkins, Dr. Bradley D. Hall, 
#       Debra J. Mondeel, J. David Nance
#  
#  National Oceanic and Atmospheric Administration (NOAA)
#  Earth System Research Laboratory (ESRL)
#  325 Broadway, R/GMD1
#  Boulder, CO 80305-3328
#  
#  Email:  James.W.Elkins@noaa.gov;   Bradley.Hall@noaa.gov
#  Phone:      (303) 497-6224            (303) 497-7011     
#  
#  Email:  Debra.J.Mondeel@noaa.gov;  David.Nance@noaa.gov
#  Phone:      (303) 497-6013            (303) 497-7002
#  
#  Fax:   (303) 497-6290
#  
#  Data use policy:
#  If you use this data in a publication or report, we would appreciate that you
#  contact the principal investigators (PIs) first and discuss your interests. 
#  The PIs can discuss the quality of the data and any potential problems with
#  its analysis. Please contact the PIs for more information. The data should
#  be cited in presentations or publications along the following lines: Sulphur Hexaflouride
#  data from the NOAA/ESRL halocarbons flask program.
#  
#  Calibration scale: NOAA 2014
#  See http://www.esrl.noaa.gov/gmd/ccl/scales.html for more information about
#  calibration scales.
#  
#  Units: ppt
#  
#  Mising value: "nan"
#  
#  Data Columns:
#      yr      Year
#      mon     Month
#      NHm     Northern Hemispheric mean concentration of SF6 in ppt
#      NHsd    Northern Hemispheric standard deviation
#      SHm     Southern Hemispheric mean concentration
#      SHsd    Southern Hemispheric standard deviation
#      GLm     Global mean concentration
#      GLsd    Global standard deviation
#  
SF6ottoyr SF6ottomon SF6ottoNHm SF6ottoNHsd SF6ottoSHm SF6ottoSHsd SF6ottoGLm SF6ottoGLsd
1995   1     3.533     0.029     3.207     0.125     3.370     0.064
1995   2     3.512     0.154     3.282     0.193     3.397     0.122
1995   3     3.558     0.159     3.244     0.120     3.401     0.100
1995   4     3.618     0.090     3.287     0.170     3.453     0.094
1995   5     3.626     0.133     3.308     0.139     3.467     0.099
1995   6     3.551     0.119     3.297     0.112     3.424     0.081
1995   7     3.677     0.093     3.262     0.124     3.470     0.078
1995   8     3.675     0.211     3.259     0.191     3.467     0.143
1995   9     3.626     0.063     3.346     0.064     3.486     0.043
1995  10     3.683     0.044     3.355     0.043     3.519     0.031
1995  11     3.704     0.039     3.454     0.090     3.579     0.049
1995  12     3.747     0.050     3.494     0.084     3.621     0.048
1996   1     3.740     0.040     3.495     0.097     3.617     0.052
1996   2     3.818     0.049     3.550     0.053     3.684     0.036
1996   3     3.862     0.044     3.478     0.061     3.670     0.038
1996   4     3.808     0.040     3.465     0.066     3.637     0.040
1996   5     3.805     0.040     3.546     0.061     3.675     0.036
1996   6     3.851     0.046     3.581     0.067     3.716     0.041
1996   7     3.846     0.046     3.544     0.061     3.695     0.039
1996   8     3.867     0.036     3.596     0.055     3.732     0.033
1996   9     3.854     0.049     3.572     0.055     3.713     0.036
1996  10     3.905     0.048     3.598     0.052     3.752     0.035
1996  11     3.896     0.054     3.630     0.060     3.763     0.039
1996  12     3.971     0.043     3.717     0.075     3.844     0.044
1997   1     3.987     0.056     3.748     0.060     3.867     0.041
1997   2     3.986     0.042     3.709     0.071     3.847     0.041
1997   3     4.009     0.038     3.727     0.053     3.868     0.033
1997   4     4.044     0.043     3.724     0.056     3.884     0.035
1997   5     4.115     0.050     3.717     0.084     3.916     0.050
1997   6     4.060     0.046     3.776     0.081     3.918     0.047
1997   7     4.071     0.047     3.814     0.065     3.943     0.040
1997   8     4.137     0.060     3.810     0.033     3.973     0.035
1997   9     4.117     0.021     3.814     0.051     3.965     0.028
1997  10     4.137     0.037     3.866     0.048     4.002     0.031
1997  11     4.166     0.034     3.860     0.042     4.013     0.028
1997  12     4.205     0.034     3.893     0.035     4.049     0.024
1998   1     4.204     0.033     3.910     0.044     4.057     0.027
1998   2     4.204     0.039     3.894     0.051     4.049     0.032
1998   3     4.208     0.033     3.934     0.043     4.071     0.026
1998   4     4.255     0.033     3.920     0.046     4.087     0.029
1998   5     4.288     0.033     3.997     0.043     4.142     0.026
1998   6     4.287     0.038     4.035     0.037     4.161     0.027
1998   7     4.249     0.026     4.010     0.048     4.130     0.027
1998   8     4.293     0.034     4.038     0.046     4.165     0.029
1998   9     4.332     0.040     4.096     0.037     4.214     0.028
1998  10     4.350     0.025     4.116     0.034     4.233     0.021
1998  11     4.375     0.031     4.133     0.045     4.254     0.027
1998  12     4.380     0.035     4.149     0.050     4.264     0.030
1999   1     4.395     0.032     4.164     0.049     4.279     0.029
1999   2     4.396     0.035     4.201     0.037     4.298     0.025
1999   3     4.413     0.035     4.212     0.040     4.312     0.026
1999   4     4.419     0.041     4.226     0.059     4.322     0.036
1999   5     4.459     0.030     4.240     0.047     4.349     0.028
1999   6     4.477     0.029     4.252     0.048     4.365     0.028
1999   7     4.467     0.039     4.249     0.037     4.358     0.027
1999   8     4.465     0.030     4.295     0.045     4.380     0.027
1999   9     4.526     0.041     4.278     0.044     4.402     0.030
1999  10     4.536     0.032     4.312     0.040     4.424     0.025
1999  11     4.559     0.030     4.338     0.042     4.449     0.026
1999  12     4.591     0.031     4.334     0.042     4.462     0.026
2000   1     4.605     0.030     4.378     0.052     4.492     0.030
2000   2     4.572     0.030     4.392     0.039     4.482     0.025
